,date,previous_home_fixture,home_team,home_team_id,away_team,away_team_id,previous_away_fixture,last_home_goals,last_away_goals,last_home_shots_on_goal,last_home_shots_off_goal,last_home_total_shots,last_home_blocked_shots,last_home_shots_insidebox,last_home_shots_outsidebox,last_home_fouls,last_home_cornerkicks,last_home_offsides,last_home_ballpossession,last_home_yellowcards,last_home_redcards,last_home_gk_saves,last_home_pass_accuracy,last_away_shots_on_goal,last_away_shots_off_goal,last_away_total_shots,last_away_blocked_shots,last_away_shots_insidebox,last_away_shots_outsidebox,last_away_fouls,last_away_cornerkicks,last_away_offsides,last_away_ballpossession,last_away_yellowcards,last_away_redcards,last_away_gk_saves,last_away_pass_accuracy,result
1285,2018-12-26T17:15:00+00:00,236,Brighton,51,Arsenal,42,235,0,3,5.0,4.0,10.0,1.0,4.0,6.0,18.0,5.0,2.0,0.43,2.0,1.0,1.0,0.7423469387755102,6.0,1.0,11.0,4.0,9.0,2.0,10.0,1.0,2.0,0.6,2.0,0.0,1.0,0.8607594936708861,0.0
1291,2018-12-29T15:00:00+00:00,245,Brighton,51,Everton,45,246,1,5,3.0,8.0,12.0,1.0,7.0,5.0,10.0,4.0,1.0,0.32,2.0,0.0,3.0,0.7407407407407407,6.0,3.0,13.0,4.0,8.0,5.0,19.0,7.0,2.0,0.51,4.0,0.0,2.0,0.7218225419664268,1.0
1310,2019-01-12T15:00:00+00:00,273,Brighton,51,Liverpool,40,271,2,1,6.0,2.0,13.0,5.0,8.0,5.0,11.0,5.0,4.0,0.46,1.0,0.0,4.0,0.7560975609756098,5.0,2.0,7.0,0.0,7.0,0.0,7.0,1.0,1.0,0.51,2.0,0.0,2.0,0.79073756432247,-1.0
1343,2019-02-02T15:00:00+00:00,297,Brighton,51,Watford,38,304,2,1,6.0,4.0,15.0,5.0,11.0,4.0,5.0,1.0,1.0,0.39,3.0,0.0,3.0,0.7513089005235603,1.0,5.0,9.0,3.0,6.0,3.0,9.0,5.0,5.0,0.32,4.0,0.0,4.0,0.6678832116788321,0.0
1355,2019-02-09T17:30:00+00:00,305,Brighton,51,Burnley,44,306,0,1,4.0,13.0,21.0,4.0,13.0,8.0,15.0,7.0,4.0,0.55,1.0,0.0,0.0,0.7675438596491229,6.0,3.0,15.0,6.0,14.0,1.0,10.0,4.0,2.0,0.54,3.0,0.0,3.0,0.6892778993435449,-1.0
1379,2019-03-02T15:00:00+00:00,338,Brighton,51,Huddersfield,37,337,1,1,3.0,9.0,15.0,3.0,8.0,7.0,4.0,8.0,4.0,0.51,1.0,0.0,1.0,0.8130630630630631,3.0,9.0,15.0,3.0,8.0,7.0,10.0,3.0,0.0,0.49,2.0,0.0,0.0,0.7730337078651686,1.0
1406,2019-03-30T15:00:00+00:00,366,Brighton,51,Southampton,41,372,0,1,2.0,8.0,14.0,4.0,7.0,7.0,11.0,5.0,2.0,0.63,0.0,0.0,1.0,0.775,4.0,3.0,8.0,1.0,7.0,1.0,14.0,4.0,5.0,0.38,2.0,0.0,3.0,0.6768802228412256,-1.0
1426,2019-04-13T14:00:00+00:00,392,Brighton,51,Bournemouth,35,385,0,1,1.0,4.0,6.0,1.0,3.0,3.0,13.0,3.0,1.0,0.22,2.0,0.0,4.0,0.5206185567010311,2.0,5.0,10.0,3.0,6.0,4.0,12.0,3.0,2.0,0.59,2.0,0.0,0.0,0.7777777777777778,-1.0
1433,2019-04-16T18:45:00+00:00,358,Brighton,51,Cardiff,43,356,2,2,3.0,1.0,4.0,0.0,1.0,3.0,18.0,0.0,1.0,0.38,5.0,0.0,2.0,0.7206703910614525,7.0,6.0,16.0,3.0,11.0,5.0,7.0,7.0,2.0,0.29,2.0,0.0,2.0,0.6460176991150443,-1.0
1454,2019-04-27T16:30:00+00:00,414,Brighton,51,Newcastle,34,412,0,3,0.0,4.0,5.0,1.0,2.0,3.0,8.0,1.0,1.0,0.32,1.0,0.0,5.0,0.7272727272727273,6.0,4.0,15.0,5.0,9.0,6.0,5.0,4.0,0.0,0.43,0.0,0.0,3.0,0.625,0.0
